Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  [15] bool PropStream::GET_STRUCT<VERSIONINFO>(VERSIONINFO*&) [18] __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned long>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::equal_to<unsigned long>, std::allocator<unsigned long> >::find_or_insert(std::pair<unsigned long const, unsigned long> const&) [135] std::pair<std::_Rb_tree_iterator<std::pair<unsigned short const, ChatChannel*> >, bool>::pair(std::_Rb_tree_iterator<std::pair<unsigned short const, ChatChannel*> > const&, bool const&)
   [5] bool PropStream::GET_STRUCT<OTBM_Tile_coords>(OTBM_Tile_coords*&) [7] __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned long>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::equal_to<unsigned long>, std::allocator<unsigned long> >::resize(unsigned int) [136] std::vector<Guilds::Guild::Member, std::allocator<Guilds::Guild::Member> >::operator[](unsigned int)
   [3] bool PropStream::GET_STRUCT<OTBM_TeleportDest>(OTBM_TeleportDest*&) [4] __gnu_cxx::hashtable<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::hashtable(unsigned int, __gnu_cxx::hash<unsigned short> const&, std::equal_to<unsigned short> const&, std::allocator<ItemType*> const&) [79] std::vector<House*, std::allocator<House*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<House**, std::vector<House*, std::allocator<House*> > >, House* const&)
  [26] bool PropStream::GET_STRUCT<OTBM_Tile_area_coords>(OTBM_Tile_area_coords*&) [46] __gnu_cxx::hashtable<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::~hashtable() [137] std::vector<House*, std::allocator<House*> >::operator[](unsigned int)
  [65] PropStream::GET_USHORT(unsigned short&) [37] bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&) [80] std::vector<Thing*, std::allocator<Thing*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Thing**, std::vector<Thing*, std::allocator<Thing*> > >, Thing* const&)
  [66] PropStream::init(char*, unsigned long) [116] bool __gnu_cxx::operator!=<std::pair<Creature*, CreatureState> const*, std::pair<Creature*, CreatureState>*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > >(__gnu_cxx::__normal_iterator<std::pair<Creature*, CreatureState> const*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > > const&, __gnu_cxx::__normal_iterator<std::pair<Creature*, CreatureState>*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > > const&) [138] std::vector<Creature*, std::allocator<Creature*> >::operator[](unsigned int)
  [67] PropStream::GET_ULONG(unsigned long&) [117] __cxxabiv1::__class_type_info::__do_dyncast(int, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const [34] std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >, std::vector<unsigned char, std::allocator<unsigned char> > const&)
  [60] __cxxabiv1::__class_type_info::~__class_type_info() [41] __cxxabiv1::__vmi_class_type_info::__do_upcast(__cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__upcast_result&) const [14] std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  [94] ActionScript::registerFunctions() [50] __cxxabiv1::__vmi_class_type_info::__do_find_public_src(int, void const*, __cxxabiv1::__class_type_info const*, void const*) const [56] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::_M_create_node(std::pair<unsigned long const, Tile*> const&)
  [95] InstantSpell::~InstantSpell() [118] __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> > const*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator+(int const&) const [139] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::find(unsigned long const&)
  [29] CreatureState::CreatureState() [51] __gnu_cxx::__normal_iterator<std::pair<unsigned char, Container*>*, std::vector<std::pair<unsigned char, Container*>, std::allocator<std::pair<unsigned char, Container*> > > >::base() const [81] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::~_Rb_tree()
  [61] CreatureState::~CreatureState() [63] __gnu_cxx::__normal_iterator<std::pair<unsigned char, Container*>*, std::vector<std::pair<unsigned char, Container*>, std::allocator<std::pair<unsigned char, Container*> > > >::operator*() const [82] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::equal_range(unsigned long const&)
  [68] CreatureState::operator=(CreatureState const&) [119] std::string::find_last_of(char const*, unsigned int, unsigned int) const [140] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::lower_bound(unsigned long const&)
  [96] SchedulerTask::~SchedulerTask() [24] std::string::find_first_of(char const*, unsigned int, unsigned int) const [83] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::upper_bound(unsigned long const&)
  [54] Map::placeCreature(Position&, Creature*) [42] std::string::find_first_of(std::string const&, unsigned int) const [13] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::_Rb_tree_impl<std::less<unsigned long>, false>::_Rb_tree_impl(std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, Player*> > > const&, std::less<unsigned long> const&)
  [30] Map::removeCreature(Creature*) [16] std::string::find_first_not_of(char, unsigned int) const [9] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::_Rb_tree_impl<std::less<unsigned long>, false>::~_Rb_tree_impl()
  [97] Map::canThrowObjectTo(Position, Position, int) [20] std::string::at(unsigned int) const [2] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::insert_unique(std::pair<unsigned long const, Player*> const&)
  [98] Map::getTile(unsigned short, unsigned short, unsigned char) [27] std::string::find(char const*, unsigned int, unsigned int) const [84] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::insert_unique(std::_Rb_tree_iterator<std::pair<unsigned long const, Player*> >, std::pair<unsigned long const, Player*> const&)
  [10] Map::loadMap(std::string, std::string) [6] std::string::find(std::string const&, unsigned int) const [141] std::_Rb_tree<unsigned long, std::pair<unsigned long const, Creature*>, std::_Select1st<std::pair<unsigned long const, Creature*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Creature*> > >::insert_unique(std::pair<unsigned long const, Creature*> const&)
  [62] Map::setTile(unsigned short, unsigned short, unsigned char) [120] std::moneypunct<char, false>::do_grouping() const [142] std::type_info::~type_info()
  [99] Map::setTile(unsigned short, unsigned short, unsigned char, unsigned short) [12] std::moneypunct<char, true>::do_grouping() const [85] std::type_info::~type_info()
 [100] Game::placeCreature(Position&, Creature*, int*) [74] std::moneypunct<char, true>::negative_sign() const [143] void std::_Construct<std::pair<std::string const, Command*>, std::pair<std::string const, Command*> >(std::pair<std::string const, Command*>*, std::pair<std::string const, Command*> const&)
 [101] Game::getPlayerByName(std::string const&) [121] std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::str() const [144] void std::_Construct<std::pair<unsigned long long, long>, std::pair<unsigned long long, long> >(std::pair<unsigned long long, long>*, std::pair<unsigned long long, long> const&)
  [31] Item::CreateItem(unsigned short, unsigned short) [122] std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::rdbuf() const [145] int std::__convert_from_v<long double>(char*, int, char const*, long double, int* const&, int)
 [102] Item::setUniqueId(unsigned short) [32] std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >::str() const [86] std::_Rb_tree_decrement(std::_Rb_tree_node_base const*)
  [69] Item::serialize()     [123] std::list<ChatChannel*, std::allocator<ChatChannel*> >::begin() const [22] std::_Rb_tree_decrement(std::_Rb_tree_node_base*)
  [70] Item::Item(unsigned short, unsigned short) [1] std::list<unsigned long, std::allocator<unsigned long> >::size() const [87] std::_Rb_tree_increment(std::_Rb_tree_node_base*)
 [103] Tile::getTopThing()   [124] std::locale::operator==(std::locale const&) const [88] std::_Rb_tree_black_count(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*)
  [49] Tile::getMoveableBlockingItem() [55] std::vector<std::pair<unsigned long, unsigned long>, std::allocator<std::pair<unsigned long, unsigned long> > >::size() const [146] std::_Rb_tree_rotate_right(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*&)
 [104] Tile::addThing(Thing*) [47] std::vector<std::pair<unsigned long, unsigned long>, std::allocator<std::pair<unsigned long, unsigned long> > >::begin() const [147] std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
   [8] Items::loadXMLInfos(std::string) [21] std::vector<std::pair<unsigned long long, long>, std::allocator<std::pair<unsigned long long, long> > >::end() const [148] std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)
 [105] Range::Range(Position, int, int, int, int, bool) [25] std::vector<std::pair<unsigned long long, long>, std::allocator<std::pair<unsigned long long, long> > >::size() const [149] __cxa_throw
  [35] Range::Range(Position const&, Position const&) [125] std::numpunct<char>::do_grouping() const [43] __w32_sharedptr_initialize
 [106] void boost::function1<void, Game*, std::allocator<boost::function_base> >::assign_to<boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, int>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<int> > > >(boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, int>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<int> > >, boost::detail::function::function_obj_tag) [28] std::time_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get_time(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, tm*) const [150] fc_key_init
 [107] void boost::function1<void, Game*, std::allocator<boost::function_base> >::assign_to<boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, unsigned short>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<unsigned short> > > >(boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, unsigned short>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<unsigned short> > >, boost::detail::function::function_obj_tag) [75] std::allocator<std::_List_node<Direction> >::~allocator() [44] fc_key_init_once
 [108] Houses::LoadHouseItems(Game*) [64] std::allocator<std::_List_node<Direction> >::~allocator() [151] luaopen_base
 [109] Monster::isCreatureAttackable(Creature const*) [126] std::allocator<std::_List_node<LootBlock> >::allocator<LootBlock>(std::allocator<LootBlock> const&)
 [110] Monster::validateDistanceAttack(Position const&) [127] std::allocator<std::_List_node<Creature*> >::allocator(std::allocator<std::_List_node<Creature*> > const&)
